loc,lastmodified,added_date
https://heyimvizi.itch.io/time/devlog/788053/140,,2026-09-04
https://heyimvizi.itch.io/time/devlog/789204/150,,2026-09-04
https://heyimvizi.itch.io/time/devlog/795242/200,,2026-09-04
https://heyimvizi.itch.io/time/devlog/795863/200-goodbye-mobile-but-not-quite,,2026-09-04
https://heyimvizi.itch.io/vizi-engine/devlog/795879/release,,2026-09-04
https://heyimvizi.itch.io/time/devlog/797122/210,,2026-09-04
https://heyimvizi.itch.io/vizi-engine/devlog/797627/110,,2026-09-04
https://heyimvizi.itch.io/time/devlog/806585/time-300-soundtrack-update-now-in-progress,,2026-09-04
https://heyimvizi.itch.io/tape-deck/devlog/818939/v05-launch,,2026-09-04
https://heyimvizi.itch.io/tape-deck/devlog/819517/v10,,2026-09-04
https://heyimvizi.itch.io/tape-deck/devlog/819912/v12,,2026-09-04
https://heyimvizi.itch.io/tape-deck/devlog/820110/calculator-v13,,2026-09-04
https://heyimvizi.itch.io/tape-deck/devlog/820474/14,,2026-09-04
https://heyimvizi.itch.io/v10-tape-deck-compact/devlog/820490/r-e-l-e-a-s-e-,,2026-09-04
https://heyimvizi.itch.io/tape-deck/devlog/820667/15,,2026-09-04
https://heyimvizi.itch.io/time/devlog/825091/soundtrack-update,,2026-09-04
https://heyimvizi.itch.io/speen/devlog/832123/100,,2026-09-04
https://heyimvizi.itch.io/vcs/devlog/834301/10,,2026-09-04
https://heyimvizi.itch.io/vcs/devlog/834691/vcs-model-2000,,2026-09-04
https://heyimvizi.itch.io/vcs/devlog/834739/20,,2026-09-04
https://heyimvizi.itch.io/vcs/devlog/837543/3-0-0-0,,2026-09-04
https://heyimvizi.itch.io/complex-i/devlog/840217/b-e-g-i-n-n-i-n-g,,2026-09-04
https://heyimvizi.itch.io/avalanche/devlog/850850/release,,2026-09-04
https://heyimvizi.itch.io/avalanche/devlog/852468/r-e-l-e-a-s-e-a-g-a-i-n-,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/853505/reason-for-status-on-hold,,2026-09-04
https://glooshy-games.itch.io/kinky-squirrel-classic-beta-v014/devlog/854371/let-the-kink-begin,,2026-09-04
https://heyimvizi.itch.io/logic/devlog/858122/the-release,,2026-09-04
https://glooshy-games.itch.io/kinky-squirrel-classic-beta-v014/devlog/858339/new-reshader-test,,2026-09-04
https://glooshy-games.itch.io/kinky-squirrel-classic-beta-v014/devlog/860897/trying-new-lighting-new-environment-new-shader,,2026-09-04
https://lemongrizzzly84.itch.io/never-ending-sabotage/devlog/868920/update-about-the-team,,2026-09-04
https://rrvl2629.itch.io/bag-of-power/devlog/873780/first-released,,2026-09-04
https://wholewheatgamesstudios.itch.io/existential-angling/devlog/874888/full-release,,2026-09-04
https://lemongrizzzly84.itch.io/seefoam/devlog/874893/participated-in-ggj,,2026-09-04
https://vinceakatori.itch.io/this-wont-work/devlog/875567/1272025-were-back,,2026-09-04
https://lemongrizzzly84.itch.io/seefoam/devlog/875814/about-game,,2026-09-04
https://glooshy-games.itch.io/kinky-squirrel-classic-beta-v014/devlog/877769/kink-animation-update,,2026-09-04
https://heyimvizi.itch.io/squadron/devlog/878990/release,,2026-09-04
https://heyimvizi.itch.io/squadron/devlog/882280/30,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/887946/release-dark-magician-kagura-v01,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/888894/thank-you,,2026-09-04
https://houndoomboi.itch.io/super-smash-bros-infinity-v075/devlog/888907/super-smash-bros-v061,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/889976/android-version-out,,2026-09-04
https://heyimvizi.itch.io/cardproject/devlog/890089/010,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/890240/patreon-sneak-peeks-dev-update-1,,2026-09-04
https://heyimvizi.itch.io/cardproject/devlog/890461/020-beta,,2026-09-04
https://heyimvizi.itch.io/cardproject/devlog/890505/030,,2026-09-04
https://heyimvizi.itch.io/cardproject/devlog/890544/031,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/891238/patreon-first-look-at-companion-1-isao-tachibana,,2026-09-04
https://heyimvizi.itch.io/onehanded/devlog/893529/launch,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/894228/patreon-character-preview-2-mika-aozora,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/894233/current-progress-on-the-game,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/895686/patreon-early-access-ver-011,,2026-09-04
https://heyimvizi.itch.io/onehanded/devlog/896244/full-release,,2026-09-04
https://heyimvizi.itch.io/cardproject/devlog/897594/restored-storage-system,,2026-09-04
https://heyimvizi.itch.io/creatiz/devlog/898528/release,,2026-09-04
https://oath-studio.itch.io/genetica/devlog/900166/genetica-a-sci-fi-universe-of-genetic-engineering-warfare-and-exploration,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/910616/patreon-early-access-ver-012,,2026-09-04
https://heyimvizi.itch.io/nuclear/devlog/912771/121,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/913001/patreon-ver-012-hotfix-2-release,,2026-09-04
https://heyimvizi.itch.io/nuclear/devlog/913392/v130,,2026-09-04
https://heyimvizi.itch.io/nuclear/devlog/913462/v131,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/913569/patreon-ver-012-hotfix-3-release,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/913671/progress-towards-version-02,,2026-09-04
https://heyimvizi.itch.io/nuclear/devlog/913819/g-u-n-s,,2026-09-04
https://heyimvizi.itch.io/nuclear/devlog/915148/the-guests-are-here,,2026-09-04
https://heyimvizi.itch.io/nuclear/devlog/920666/v151,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/922963/patreon-early-access-ver-013,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/923606/patreon-ver-013-hotfix-1-release,,2026-09-04
https://heyimvizi.itch.io/shmazblock/devlog/923821/public-release,,2026-09-04
https://heyimvizi.itch.io/shmazblock/devlog/924513/v14,,2026-09-04
https://heyimvizi.itch.io/the-conflict/devlog/930438/early-access-release-v02,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/938311/release-dark-magician-kagura-v02,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/938508/ver-020-hotfix-1-release,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/938958/ver-020-hotfix-2-release,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/940754/v11-public-release,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/940763/11a,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/940885/v12,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/940931/v12a,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/941299/v13,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/941306/ver-020-hotfix-3-release,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/941370/major-v20,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/941401/v21,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/941427/v22,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/941436/v22a,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/941447/v22b,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/941911/major-v30,,2026-09-04
https://heyimvizi.itch.io/vizian-prison-game/devlog/942220/31,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/942307/patreon-vote-on-new-content,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/943734/030-roadmap,,2026-09-04
https://heyimvizi.itch.io/sector/devlog/948183/10,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/949488/patreon-early-access-ver-021,,2026-09-04
https://heyimvizi.itch.io/sector/devlog/949502/-20-prerelease-,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/949810/patreon-early-access-ver-021-hotfix-1-release,,2026-09-04
https://oath-studio.itch.io/genetica/devlog/949911/creating-a-universe,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/950436/patreon-early-access-ver-021-hotfix-2-release,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/950656/heads-up-on-patreon-tier-changes,,2026-09-04
https://heyimvizi.itch.io/computiz/devlog/958425/v02-early-access,,2026-09-04
https://heyimvizi.itch.io/computiz/devlog/958997/120,,2026-09-04
https://confand.itch.io/uvp/devlog/963693/devlog-1-i-want-to-make-a-volleyball-game,,2026-09-04
https://gueefee.itch.io/nitro/devlog/966513/prototype-5,,2026-09-04
https://gueefee.itch.io/nitro/devlog/967362/version-100,,2026-09-04
https://confand.itch.io/uvp/devlog/968894/devlog-2-first-npc-ai,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/976489/patreon-early-access-version-022,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/977029/patreon-early-access-ver-022-hotfix-3-release,,2026-09-04
https://cupofgrey.itch.io/keep-dead-quiet/devlog/981492/layout-less-version-released,,2026-09-04
https://cupofgrey.itch.io/keep-dead-quiet/devlog/982773/missing-map-connection-g3-to-g5,,2026-09-04
https://confand.itch.io/uvp/devlog/984229/devlog-3-2v2-mode-base-ready,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/991675/patreon-early-access-version-023,,2026-09-04
https://kagurarpg.itch.io/dark-magician-kagura/devlog/991977/patreon-early-access-ver-023-hotfix-1-release,,2026-09-04
https://vinceakatori.itch.io/this-wont-work/devlog/995933/dev-post-16-7272025-regarding-payment-processors,,2026-09-04
https://heyimvizi.itch.io/avalanche/devlog/997368/20,,2026-09-04
https://heyimvizi.itch.io/freak/devlog/1004195/freak-v10-release,,2026-09-04
